 id simbad_type simbad_ctlg simbad_sptype simbad_redshift
285 S82sub8_59.12_cand5072 Unknown Unknown Unknown Unknown
286 S82sub8_59.12_cand4270 Unknown Unknown Unknown Unknown
287 S82sub8_59.12_cand6434 Unknown Unknown Unknown Unknown
288 S82sub8_59.12_cand2585 Unknown Unknown Unknown Unknown
289 S82sub8_59.12_cand7084 Unknown Unknown Unknown Unknown
290 S82sub8_59.12_cand765 Unknown Unknown Unknown Unknown
291 S82sub8_59.12_cand5724 Unknown Unknown Unknown Unknown
292 S82sub8_59.12_cand681 Unknown Unknown Unknown Unknown
293 S82sub8_59.12_cand3262 Unknown Unknown Unknown Unknown
294 S82sub8_59.12_cand1216 Unknown Unknown Unknown Unknown
295 S82sub8_59.12_cand1808 Unknown Unknown Unknown Unknown
296 S82sub8_59.12_cand6719 Unknown Unknown Unknown Unknown
297 S82sub8_59.12_cand6083 Unknown Unknown Unknown Unknown
298 S82sub8_59.12_cand5792 Unknown Unknown Unknown Unknown
299 S82sub8_59.12_cand2132 Unknown Unknown Unknown Unknown
300 S82sub8_59.12_cand1490 Unknown Unknown Unknown Unknown
301 S82sub8_59.12_cand6230 Unknown Unknown Unknown Unknown
302 S82sub8_59.12_cand3029 Unknown Unknown Unknown Unknown
303 S82sub8_59.12_cand350 Unknown Unknown Unknown Unknown
304 S82sub8_59.12_cand484 Unknown Unknown Unknown Unknown
305 S82sub8_59.12_cand2265 Unknown Unknown Unknown Unknown
306 S82sub8_59.12_cand1789 Unknown Unknown Unknown Unknown
307 S82sub8_59.12_cand2702 Unknown Unknown Unknown Unknown
308 S82sub8_59.12_cand3960 Unknown Unknown Unknown Unknown
309 S82sub8_59.12_cand2835 Unknown Unknown Unknown Unknown
310 S82sub8_59.12_cand5576 Unknown Unknown Unknown Unknown
311 S82sub8_59.12_cand3557 Unknown Unknown Unknown Unknown
312 S82sub8_59.12_cand349 Unknown Unknown Unknown Unknown
313 S82sub8_59.12_cand919 Unknown Unknown Unknown Unknown
314 S82sub8_59.12_cand5958 Unknown Unknown Unknown Unknown
315 S82sub8_59.12_cand1471 Unknown Unknown Unknown Unknown
316 S82sub8_59.12_cand4016 Unknown Unknown Unknown Unknown
317 S82sub8_59.12_cand465 Unknown Unknown Unknown Unknown
318 S82sub8_59.12_cand5424 Unknown Unknown Unknown Unknown
319 S82sub8_59.12_cand7179 Unknown Unknown Unknown Unknown
320 S82sub8_59.12_cand2037 Unknown Unknown Unknown Unknown
321 S82sub8_59.12_cand5844 Unknown Unknown Unknown Unknown
322 S82sub8_59.12_cand6881 Unknown Unknown Unknown Unknown
323 S82sub8_59.12_cand5025 Unknown Unknown Unknown Unknown
324 S82sub8_59.12_cand4227 Unknown Unknown Unknown Unknown
325 S82sub8_59.12_cand4459 Unknown Unknown Unknown Unknown
326 S82sub8_59.12_cand5372 Unknown Unknown Unknown Unknown
327 S82sub8_59.12_cand706 Unknown Unknown Unknown Unknown
328 S82sub8_59.12_cand2480 Unknown Unknown Unknown Unknown
329 S82sub8_59.12_cand6056 Unknown Unknown Unknown Unknown
330 S82sub8_59.12_cand1712 Unknown Unknown Unknown Unknown
331 S82sub8_59.12_cand6628 Unknown Unknown Unknown Unknown
332 S82sub8_59.12_cand2564 Unknown Unknown Unknown Unknown
333 S82sub8_59.12_cand136 Unknown Unknown Unknown Unknown
334 S82sub8_59.12_cand7155 Unknown Unknown Unknown Unknown
335 S82sub8_59.12_cand449 Unknown Unknown Unknown Unknown
336 S82sub8_59.12_cand2532 Unknown Unknown Unknown Unknown
337 S82sub8_59.12_cand1223 Unknown Unknown Unknown Unknown
338 S82sub8_59.12_cand3807 Unknown Unknown Unknown Unknown
339 S82sub8_59.12_cand6949 Unknown Unknown Unknown Unknown
340 S82sub8_59.12_cand2460 Unknown Unknown Unknown Unknown
341 S82sub8_59.12_cand5643 Unknown Unknown Unknown Unknown
342 S82sub8_59.12_cand5197 Unknown Unknown Unknown Unknown
343 S82sub8_59.12_cand5974 Unknown Unknown Unknown Unknown
344 S82sub8_59.12_cand6034 Unknown Unknown Unknown Unknown
345 S82sub8_59.12_cand5242 Unknown Unknown Unknown Unknown
346 S82sub8_59.12_cand3134 Unknown Unknown Unknown Unknown
347 S82sub8_59.12_cand5472 Unknown Unknown Unknown Unknown
348 S82sub8_59.12_cand7161 Unknown Unknown Unknown Unknown
349 S82sub8_59.12_cand4722 Unknown Unknown Unknown Unknown
350 S82sub8_59.12_cand1345 Unknown Unknown Unknown Unknown
351 S82sub8_59.12_cand5009 Unknown Unknown Unknown Unknown
352 S82sub8_59.12_cand678 Unknown Unknown Unknown Unknown
353 S82sub8_59.12_cand1788 Unknown Unknown Unknown Unknown
354 S82sub8_59.12_cand636 Unknown Unknown Unknown Unknown
